	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
túl	29.43	17.4	16.53	5.82	5.62	6.91	2.08	1.82	-0.01	0.22	2.45	6.72	1.15	1.77	0.02	0.08	0.29	0.07	0.7	0	0.02	0	0	0.02	0.37	-0.01	0.01	0.1	0	0.05	0.03	0.05	0.02	0.18	0.01	0.01	0.04	-0.01	0	0	0	0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
előre	8.73	17.6	37.57	7.33	2.66	4.55	1.87	1.1	0.18	0.61	0.67	1.34	9.8	0.1	0.06	0.18	0.03	2.42	0.03	0.01	0	1.43	-0.01	0.08	0.01	0	0.23	0.05	0.06	0.06	0.75	0.01	0.02	0.05	0.01	0	0.24	-0.01	0	-0.01	-0.01	0.01	0	-0.01	-0.01	0.13	-0.01	-0.01	0	0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
együtt	7.35	5.29	63.63	0.27	4	0.15	1.96	4.74	-0.01	0	12.24	0.02	0.09	0.02	-0.01	0	0.06	-0.01	-0.01	-0.01	0	-0.01	-0.01	0	0.02	-0.01	-0.01	0	-0.01	0	0	0.04	0	0.01	0.01	0.04	0.01	-0.01	0.03	0	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
egyet	53.95	19.27	16.43	0.36	2.23	0.64	2.78	1.24	-0.01	-0.01	1.13	0.2	0.77	-0.01	-0.01	-0.01	0	0.13	0	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	0	0	-0.01	0.01	-0.01	0.13	0.01	0.03	0.11	0.13	0	-0.01	0.42	0	-0.01	0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	0	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
szét	36.22	17.46	17.47	8.99	6.11	3.69	2.05	2.42	-0.01	1.4	0.25	0.6	0.66	0.95	0.2	0.17	0.38	0	0.53	0.07	0	0	0	0.02	0.02	0.11	0.01	0.05	0.01	0.06	0.03	0	0.02	0	0	0	0.02	-0.01	0.01	0	0	0	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
haza	38.42	31.27	9.42	3.44	5.67	2.79	2.71	2.59	0.81	0.19	0.32	0.01	1.4	0	-0.01	0.15	0.04	-0.01	0.01	0.02	-0.01	0.25	-0.01	-0.01	0	-0.01	0.01	0.06	-0.01	0.01	0.01	0	0.16	0.02	0.02	0.01	0.08	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	0.1	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
újra	23.93	16.54	31.86	5.07	7.02	0.43	8.11	1.98	-0.01	1.67	1.51	0	0.38	0.13	0.01	0.17	0.07	-0.01	0.12	0.15	-0.01	0	0	-0.01	0.01	-0.01	0.01	0.02	-0.01	0.07	0.03	0	0.01	0.38	0.02	0	0.22	-0.01	0	0	-0.01	-0.01	0	-0.01	-0.01	0.04	0	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
végig	43.9	26.75	1.75	1.66	12.01	2.42	5.9	2.8	0.48	0.54	0.01	0.02	0.67	0.06	0.01	0.08	0.21	-0.01	0.07	0.07	-0.01	0	0.17	0	0	0.02	0.04	0	-0.01	0.06	0	0	0.04	0.04	0.04	0.02	0.1	-0.01	0	0	-0.01	0.02	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	0	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
észre	24.15	33.64	0.06	0.13	4.9	0.03	2.29	0.16	26.25	0.03	0	1.15	5.77	0.02	0.54	0.28	-0.01	0.01	0.01	0	-0.01	-0.01	-0.01	0.02	-0.01	0.13	0.01	0	0.01	0.02	0.03	-0.01	0.02	0.11	0.02	0.02	0.1	-0.01	0	0	-0.01	0.06	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01
neki	26.64	61.78	2.58	1.61	2.72	0.35	1.79	0.54	-0.01	-0.01	0.01	0.06	1.35	0.01	-0.01	0.01	0.01	-0.01	0.06	-0.01	0.01	0	-0.01	0	0.02	-0.01	0.01	0.01	-0.01	0.17	0	0	0.01	0.19	0.01	0	-0.01	-0.01	0	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0.02	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ide	21.72	48.52	0.93	1.85	4.13	7.75	2.78	8	0.12	0.27	0.01	0.08	1.7	0.01	-0.01	0.23	0.12	0.02	0.25	0.06	0	0.02	-0.01	-0.01	-0.01	-0.01	0.01	0	-0.01	0.04	0.02	0.14	0.02	0.2	0.02	0.03	0.28	-0.01	0.01	-0.01	0.01	0.6	0.04	-0.01	-0.01	0.02	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
félre	29.59	10.87	26.67	5.45	4.69	6.74	2.17	4.13	0.13	3.42	0.09	0.67	1.1	0.22	1.68	0.06	0.15	0	0.4	0.02	-0.01	-0.01	-0.01	0.07	0.03	1.33	0	0.04	0.03	0.01	0.11	0	0.02	0.02	0.01	0.01	0	-0.01	0	-0.01	0	0	-0.01	-0.01	-0.01	0	-0.01	0.01	-0.01	0.02	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ott	17.27	59.83	0.14	1.19	2	0.16	6.54	0.47	-0.01	0.01	0	-0.01	11.55	0	0.01	0.02	0.02	-0.01	0.03	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.03	-0.01	-0.01	0.03	0.01	0.03	0.04	0.18	0.13	0.02	0.26	-0.01	-0.01	-0.01	0	0.01	-0.01	-0.01	-0.01	0.02	-0.01	-0.01	0.02	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
közzé	20.57	31.45	0	24.44	3.57	0.51	2.12	0.97	14.74	0.14	0.02	-0.01	0.51	-0.01	-0.01	0.18	0.08	-0.01	0.06	0.59	-0.01	0	-0.01	-0.01	-0.01	-0.01	0.02	-0.01	-0.01	0.01	0	-0.01	-0.01	0.01	0	0	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
jóvá	29.57	14.86	28.45	12.19	2.74	2.37	1.86	0.26	2.85	0.21	1.8	0.05	0.58	0.01	1.11	0.13	0.12	0.16	0.07	0.22	0.01	-0.01	0.01	-0.01	0.01	0.31	-0.01	-0.01	0.01	-0.01	0.02	-0.01	0.01	0	-0.01	0.01	-0.01	-0.01	0	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
véget	49.1	38.92	0.06	1.84	0.98	1.08	3.31	0.49	-0.01	-0.01	-0.01	-0.01	2.49	-0.01	0.01	-0.01	-0.01	-0.01	0	0	-0.01	0.05	-0.01	-0.01	-0.01	0	0.01	-0.01	-0.01	0.02	0	1.48	0.02	0.01	0.02	0.02	0.01	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.05	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01
körül	25.21	28.41	8.11	7.66	4.86	11.34	1.8	2.44	-0.01	1.92	0.1	4.76	0.46	0.11	0.06	0.07	1.08	0	0.46	0.02	0	-0.01	0.14	0.15	0.03	0.01	0.03	0.01	0.56	0.02	0.02	0	0.03	0.04	0.01	0	0.07	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	0	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
helyre	23.02	8.62	41.52	1.7	9.07	1.68	4.47	0.34	0.78	1.01	4.91	0.01	0.6	0.04	1.03	0.42	0.1	0	0.1	0.13	-0.01	0.04	0	-0.01	0	0.25	-0.01	-0.01	0	0.01	0.03	-0.01	0.02	0.03	0.01	0.01	0.05	-0.01	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
közre	35.36	13.18	36.11	4.24	1.96	7.22	0.33	0.46	-0.01	0.03	0.86	0.01	0.12	0	-0.01	0.01	0.01	-0.01	0	0.02	0.01	-0.01	0	0	0	-0.01	0	0	-0.01	0.01	0	0.01	0.01	-0.01	-0.01	0	0	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
szembe	27.72	23.23	7.05	1.73	18.78	4.23	9.59	2.41	0.09	0.32	0.02	1.16	0.34	0.01	-0.01	0.19	0.06	0	0.02	0.01	-0.01	-0.01	-0.01	2.3	0.02	-0.01	-0.01	0.02	0.38	0.04	0	0.01	0.03	0.02	0.07	0.09	0.03	-0.01	0.01	0	-0.01	0	0.01	-0.01	-0.01	-0.01	-0.01	0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
felül/fölül	42.15	18.2	3.64	4.27	9.74	5.55	9.44	2.57	-0.01	0.75	0.15	0.41	0.58	0.14	1.45	0.11	0.09	-0.01	0.12	0.24	0.01	0.01	0.01	-0.01	0.01	0.12	0.02	0.03	0	0.01	0.01	0.02	0.03	0.05	0	0.03	0	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
nyilván	3.15	11.92	64.4	8.23	1.28	1.87	0.33	0.13	-0.01	0.12	7.07	0	0.1	0.02	-0.01	0.04	1.04	-0.01	0.17	0.04	0.04	-0.01	0	-0.01	0.01	-0.01	0.01	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
közbe	17.67	10.32	63.85	1.6	2.06	1.35	1.08	0.38	0.04	0.01	0.02	0.02	0.43	-0.01	-0.01	-0.01	0.02	0.79	0.02	0.01	-0.01	0.23	-0.01	-0.01	0.06	-0.01	-0.01	0.01	-0.01	0.01	-0.01	-0.01	-0.01	0.01	0.01	-0.01	0.01	-0.01	0	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
hátra	22.01	34.31	2.02	7.35	1.58	25.62	0.89	4.47	0.03	0.14	0.03	0.04	0.64	0.02	-0.01	0.01	0.09	-0.01	0.12	0.01	0.04	0.01	-0.01	-0.01	0.03	-0.01	0	0.08	-0.01	0.21	0.01	0.01	0.07	0.03	0	-0.01	0.03	-0.01	-0.01	0	-0.01	0.04	-0.01	-0.01	-0.01	0.02	-0.01	0	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ellen	14.71	3.09	50.8	0.25	10.31	5.82	1.08	0.33	-0.01	0.01	4.21	0.02	0.04	0.22	4.85	-0.01	0.01	-0.01	-0.01	-0.01	0.64	-0.01	-0.01	0.25	0.04	1.71	-0.01	0.02	1.56	-0.01	-0.01	0	-0.01	0.01	0	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ellent	17.44	4.69	42	0.16	1.75	11.38	0.85	0.88	-0.01	-0.01	0.02	1.57	0.16	0.88	-0.01	-0.01	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	0.76	17.01	-0.01	-0.01	-0.01	0.3	-0.01	-0.01	0.01	-0.01	0.01	0.07	0.05	-0.01	0.01	0.01	-0.01	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
egybe	30.25	11.93	11.36	14.88	2.06	11.35	0.91	7.99	-0.01	0.31	0.21	6.83	0.28	0.29	0.01	0.16	0.47	0.01	0.35	0.1	0.01	-0.01	0.01	0.01	0.01	-0.01	0.01	0.01	-0.01	0.02	0.01	0.02	0.07	0	0.01	0.04	-0.01	-0.01	0.01	-0.01	-0.01	0	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
újjá	18.44	9.57	42.33	8.62	4.04	3.96	2.14	0.44	-0.01	0.11	9.73	0.02	0.15	0.01	0.01	0.06	0.05	-0.01	0.03	0.17	-0.01	0	0	-0.01	0.01	0.01	0.03	0.01	-0.01	-0.01	0	-0.01	0.01	-0.01	0	0.01	0.01	-0.01	-0.01	0	-0.01	0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
hatályba	15.35	30.74	45.1	0.25	0.34	5.28	0.95	0.03	-0.01	0.02	0.52	0	1.27	-0.01	-0.01	0.02	-0.01	-0.01	-0.01	0.01	-0.01	0.03	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	0.02	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	0.05	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
tönkre	53.36	22.71	0.63	4.37	5.7	1.34	3	0.69	6.21	0.09	0.05	0	1.38	0	0.03	0.02	0.05	-0.01	0.27	0	-0.01	0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	0.04	-0.01	0.01	0.01	0.01	-0.01	0	0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
