	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
hozzá	32.86	26.96	21.86	1.22	4.89	0.68	2.48	3.25	0.01	2.07	1.63	0.03	0.31	0.29	0.08	0.09	0.16	0.66	0.13	0.02	0.06	0	-0.01	0	0.01	0	0.01	0	0	0.04	0.01	0.01	0.01	0.01	0.05	0.02	-0.01	-0.01	0	0.08	-0.01	0	0	-0.01	0.01	-0.01	0	0	0	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
rá/reá	31.76	25.58	26.75	1.82	5.49	1.88	2.35	0.8	0	0.16	0.23	0.1	0.87	0.53	0	0.08	0.38	0	0.44	0.01	0.01	0	0	0.2	0.14	0	0.01	0.2	0.04	0.06	0	0.01	0.02	0.04	0.02	0.02	-0.01	-0.01	0	0	-0.01	0.01	0	0	0.02	-0.01	-0.01	0	0	-0.01	0	0	-0.01	0	-0.01	0	0	-0.01	0	0	-0.01	0	0	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
bele/belé	46.11	23.33	3.91	2.09	8.66	0.6	3	9.48	0	0.11	0.23	0.04	1.19	0.01	0	0.07	0.29	0	0.46	0.12	0	-0.01	-0.01	-0.01	0.01	0	0.02	0.05	0	0.02	0	0.01	0.03	0.03	0.02	0.04	0.02	-0.01	0.01	0	-0.01	0.01	0.01	-0.01	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	0	-0.01	0	0	0	-0.01	0	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
létre	17.4	34.97	17.2	11.9	5.78	6.13	1.18	0.49	0.32	0.3	0.12	0	0.22	0	0	0.22	0.04	-0.01	0.01	0.66	-0.01	2.86	-0.01	-0.01	-0.01	-0.01	0.01	-0.01	-0.01	0.13	0	0	0.01	0	0	0	0.01	-0.01	0	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
fenn/fönn	19.85	13.7	27.79	5.54	4.88	11.16	1.86	1.26	-0.01	7.54	1.94	0.05	0.12	1.84	0.51	0.48	0.28	-0.01	0.01	0.08	0.94	0.02	0	0.01	0.02	0.01	0	-0.01	0	0.02	0	0	0.01	0	0	0.01	0	0.01	0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
részt	39.33	38.58	0.05	1.5	3.01	7.42	2.29	0.04	0.02	0	6.92	0.01	0.31	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.01	0.38	0	0	-0.01	0.09	0.01	0.01	0.01	0.02	0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
alá	24.42	27.1	21.18	8.74	5.49	4.58	1.38	1.16	0	0.31	0.88	0.15	1.15	0.84	0.01	0.13	0.84	-0.01	0.48	0.29	0.12	-0.01	0.03	0	0.05	0.01	0.1	0.02	0.02	0.04	0.04	0.36	0.01	0.01	0	0.01	-0.01	-0.01	0.02	0	0	0.01	0	0	0	-0.01	0	0	0	0	0	0	0	-0.01	-0.01	0	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
tovább	16.39	38.96	20.75	3.61	4.82	2.85	5.91	0.96	0.6	0.28	1.65	0.01	1.3	0.02	0	0.5	0.02	0	0.02	0.05	0	0	0	-0.01	0	-0.01	0	0.01	-0.01	0.05	0.34	0.02	0.01	0.16	0.01	0.01	0.45	-0.01	0	-0.01	0	0.01	0	-0.01	-0.01	0.19	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
oda	42.81	25.1	7.32	3.64	7.75	2.51	5.69	0.68	0	0.16	0.25	0.23	1.98	0.02	0	0.06	0.26	0.01	0.48	0.07	-0.01	0.01	-0.01	0.08	0	-0.01	0.03	0.06	0.03	0.02	0.01	0.32	0.03	0.08	0.03	0.02	0.13	-0.01	0.07	0	-0.01	0.02	0	-0.01	-0.01	0.01	-0.01	0	0	0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
végre	6.14	20.66	35.99	6.37	7.75	7.21	1.81	0.2	-0.01	1.7	9.43	0	0.35	0.3	0.32	0.32	0.07	0	0.03	1.2	0.01	-0.01	0.01	-0.01	0	0	0.03	-0.01	0	0.02	0.01	0.01	0	0.01	0	0	0	-0.01	0.03	0	0	0	0.01	-0.01	0	-0.01	-0.01	0.01	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
