	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
haza	0.36	0.44	0.14	0.14	0.26	0.18	0.33	0.56	0.18	0.04	0.08	0	0.48	0	-0.01	0.14	0.04	-0.01	0.02	0.03	-0.01	0.6	-0.01	-0.01	0.01	-0.01	0.03	0.37	-0.01	0.1	0.09	0.02	2.13	0.33	0.38	0.17	1.37	-0.01	0.02	-0.01	-0.01	0.04	-0.01	-0.01	-0.01	13.03	-0.01	0.15	0.36	-0.01	-0.01	-0.01	-0.01	-0.01	0.64	-0.01	-0.01	-0.01	-0.01	3.45	2.08	-0.01	-0.01	4.55	-0.01	4.76	-0.01	-0.01	-0.01	-0.01	-0.01	7.14	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
újra	0.2	0.2	0.42	0.17	0.28	0.02	0.86	0.37	-0.01	0.34	0.32	0	0.11	0.07	0	0.14	0.07	-0.01	0.14	0.19	-0.01	0	0.01	-0.01	0.04	-0.01	0.05	0.14	-0.01	0.66	0.3	0.03	0.12	4.81	0.3	0.07	3.22	-0.01	0.02	0.05	-0.01	-0.01	0.06	-0.01	-0.01	4.48	0.27	0.29	-0.01	-0.01	-0.01	0.36	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	1.33	3.45	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
végig	0.33	0.3	0.02	0.05	0.45	0.13	0.58	0.49	0.09	0.1	0	0	0.19	0.03	0.01	0.06	0.18	-0.01	0.07	0.08	-0.01	0	0.43	0.01	0.01	0.09	0.16	0.01	-0.01	0.52	0.04	0.04	0.48	0.5	0.5	0.28	1.31	-0.01	0.06	0.11	-0.01	0.78	-0.01	-0.01	-0.01	1.04	-0.01	-0.01	0.36	-0.01	-0.01	1.43	-0.01	0.5	-0.01	-0.01	-0.01	-0.01	-0.01	1.72	-0.01	-0.01	-0.01	4.55	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
észre	0.16	0.33	0	0	0.16	0	0.19	0.02	4.02	0	0	0.25	1.36	0.01	0.28	0.18	-0.01	0.01	0.01	0	-0.01	-0.01	-0.01	0.04	-0.01	0.44	0.05	0.02	0.04	0.16	0.26	-0.01	0.14	1.07	0.21	0.28	1.16	-0.01	0.04	0.08	-0.01	2.16	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.72	0.64	-0.01	-0.01	-0.01	-0.01	6.41	-0.01	-0.01	1.27	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	7.14	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	100	-0.01
neki	0.17	0.58	0.03	0.04	0.08	0.02	0.15	0.08	-0.01	-0.01	0	0.01	0.31	0	-0.01	0.01	0.01	-0.01	0.05	-0.01	0.01	0	-0.01	0	0.05	-0.01	0.03	0.04	-0.01	1.31	0.01	0.04	0.07	1.85	0.07	0.04	-0.01	-0.01	0.02	0.03	-0.01	-0.01	0.06	-0.01	-0.01	-0.01	-0.01	-0.01	3.58	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	1.33	-0.01	-0.01	-0.01	-0.01	4.55	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ide	0.12	0.41	0.01	0.04	0.12	0.3	0.2	1.04	0.02	0.04	0	0.01	0.35	0	-0.01	0.13	0.07	0.01	0.19	0.05	0	0.03	-0.01	-0.01	-0.01	-0.01	0.03	0.01	-0.01	0.3	0.13	1.11	0.12	1.72	0.21	0.25	2.79	-0.01	0.07	-0.01	0.19	18.64	1.6	-0.01	-0.01	1.67	-0.01	-0.01	-0.01	0.64	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	6.33	-0.01	1.72	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
félre	0.15	0.08	0.22	0.12	0.12	0.24	0.14	0.48	0.02	0.43	0.01	0.11	0.2	0.08	0.67	0.03	0.09	0	0.27	0.02	-0.01	-0.01	-0.01	0.12	0.05	3.54	0.01	0.16	0.15	0.05	0.77	0.02	0.16	0.12	0.09	0.1	0.04	-0.01	0.04	-0.01	0.03	0.09	-0.01	-0.01	-0.01	0.1	-0.01	1.32	-0.01	5.1	-0.01	-0.01	-0.01	-0.01	-0.01	0.83	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ott	0.08	0.41	0	0.02	0.05	0.01	0.39	0.05	-0.01	0	0	-0.01	1.94	0	0	0.01	0.01	-0.01	0.02	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.09	-0.01	-0.01	0.15	0.06	0.19	0.23	1.26	1.02	0.14	2.13	-0.01	-0.01	-0.01	0.06	0.17	-0.01	-0.01	-0.01	0.94	-0.01	-0.01	1.61	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
közzé	0.09	0.21	0	0.46	0.08	0.02	0.12	0.1	1.56	0.02	0	-0.01	0.08	-0.01	-0.01	0.08	0.04	-0.01	0.03	0.4	-0.01	0	-0.01	-0.01	-0.01	-0.01	0.06	-0.01	-0.01	0.04	0.02	-0.01	-0.01	0.05	0.03	0.03	0.08	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.64	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
jóvá	0.13	0.1	0.2	0.22	0.06	0.07	0.1	0.03	0.29	0.02	0.2	0.01	0.09	0	0.38	0.05	0.06	0.09	0.04	0.15	0	-0.01	0.01	-0.01	0.01	0.7	-0.01	-0.01	0.02	-0.01	0.13	-0.01	0.04	0.01	-0.01	0.04	-0.01	-0.01	0.02	0.08	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0.32	-0.01	-0.01	0.38	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	1.72	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
