igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	1.9508406133080693	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.1705832778361835	-0.4843706013552963	-0.5497664804233818	-0.7885674762999938	-0.23197340190811358
ágyba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.5181328687478826	-0.42333003446528283	-0.37475469665084754	1.7710235066817643	-0.23197340190811358
agyon	1.491929865968994	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.1019880468544003	2.012157725798273	2.2498633737252103	0.013339561175962819	-0.23197340190811358
ajtót	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.719154271314397	-0.5466268791587646	-0.5497664804233818	2.122545815991902	-0.23197340190811358
alá	2.325269956672978	2.522454082717987	2.350165459337879	3.315857881113404	-1.7469184691710817	0.006178244195487286	1.4315403872017431	1.8422824781748195	1.8868170243226492	-0.6808600256821385	4.310836432892345
alább	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.677663959341707	-0.4843706013552963	-0.49027809414718754	-0.7260883783204909	-0.23197340190811358
állást	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.7312489567669076	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
által	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.8258508480327547	0.17437788951992597	0.3183684117925354	-0.3902716412617479	-0.23197340190811358
alul	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.057469976574721	0.57571356147697	0.6732006931616435	-0.557380620572092	-0.23197340190811358
arcul	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.6268397687886101	-0.4843706013552963	-0.49027809414718754	1.298782059572131	-0.23197340190811358
át	2.45555984743	2.649985123928976	2.3528107678230774	-0.3123653961545721	-1.7469184691710817	-2.2349120844002037	1.7405372273506585	2.6561559306258533	2.518293742056929	-0.7100340609440062	-0.23197340190811358
be	2.456222201738148	2.7902583934454683	2.3558300780207992	3.3158615042533452	-1.7469184691710817	-2.2349120844002037	1.8967935628063863	1.627398820155596	1.7804231758337372	1.0306122040191514	-0.23197340190811358
bé	-0.45341831526752546	2.750387032876994	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	-2.2349120844002037	0.7088127720197581	2.6574305264788696	2.5197391476191116	-0.7476506653973222	-0.23197340190811358
békén	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.259165658204319	-0.5466268791587646	-0.5497664804233818	-0.3508890447700258	-0.23197340190811358
bele	2.4561495057642806	2.7053137507874716	2.2855006640078743	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.6398476052496365	2.6558316538900297	2.5177835790840906	-0.641610647148689	4.310839423169868
belé	2.288787703344871	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.7192722239942493	1.74115011193231	1.9109194743712585	1.118712972002434	-0.23197340190811358
benn	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	2.6652833231805606	-1.7469184691710817	-2.2349120844002037	0.7745815096276362	-0.24726636427381493	-0.37475469665084754	-0.6914301940930084	-0.23197340190811358
bent	-0.45341831526752546	-0.374270239045317	1.5297506449386906	3.2949442111180107	-1.7469184691710817	-2.2349120844002037	0.2148442406082813	-0.36348132066337246	-0.4319483931472286	-0.3693364800269815	-0.23197340190811358
bérbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.026567953214217826	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
bosszút	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.5141393920152748	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
célba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.17740339083852708	-0.42333003446528283	-0.4319483931472286	0.37500267094878853	-0.23197340190811358
cserben	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.669508500614859	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
csődbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.3436320975264607	-0.4843706013552963	-0.5497664804233818	-0.24550944672426647	-0.23197340190811358
csonttá	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.5141393920152748	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
csúcsra	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.0015067191891038	-0.5466268791587646	-0.5497664804233818	1.1658656406173888	-0.23197340190811358
égbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.1836979922517488	-0.4843706013552963	-0.49027809414718754	2.0920955937928265	-0.23197340190811358
egybe	-0.45341831526752546	-0.374270239045317	1.9539409890619175	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.1584332625498917	1.4295934798642196	1.5300492886283543	-0.46871202054827366	-0.23197340190811358
egyet	-0.45341831526752546	-0.374270239045317	2.355178434068423	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.5043344375313805	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
együtt	-0.45341831526752546	-0.374270239045317	2.350728345198107	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.1814427089767812	-0.4843706013552963	-0.5497664804233818	-0.7885674762999938	-0.23197340190811358
éhen	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.2359103084546793	-0.4843706013552963	-0.49027809414718754	-0.5927633574849593	-0.23197340190811358
el	2.4562883851816664	2.790210693705903	2.3557945399914137	3.1992063304676295	-1.7469184691710817	-2.2349120844002037	2.008927928985271	2.6574322359523204	2.5197442458057173	-0.766665590718469	-0.23197340190811358
elé	1.9508406133080693	2.649985123928976	-0.4752462760096982	3.2949442111180107	-1.7469184691710817	0.006178244195487286	0.5487166101011716	0.6944520272272082	0.8772348804212151	0.8265724370491694	4.310839419765364
élen	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.013928305408865893	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
életben	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	2.391568252374608	-0.8429978471107649	-0.4843706013552963	-0.5497664804233818	0.8422241161090503	-0.23197340190811358
