igekötő	duplikálhatóság	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	0.00025	0	0	0	1	2	0.00092	0.0001	0	0	0
ágyba	0	0	0	0	1	2	0	0.0002	0.0003	0.01037	0
agyon	0.00012	0	0	0	1	2	0.00066	0.00821	0.01253	0.00144	0
ajtót	0	0	0	0	1	2	0	0	0	0.04146	0
alá	0.00074	0.00018	0.00598	0.01837	0	2	0.00358	0.00701	0.00812	0.00017	0.00457
alább	0	0	0	0	0	2	0.00011	0.0001	0.0001	0.0001	0
állást	0	0	0	0	1	2	0	0	0	0	0
által	0	0	0	0	0	2	0.0002	0.0013	0.0017	0.00066	0
alul	0	0	0	0	0	2	0.00054	0.0022	0.00261	0.00037	0
arcul	0	0	0	0	1	2	0	0.0001	0.0001	0.00592	0
át	0.02185	0.00027	0.0086	0	0	1	0.0244	0.04076	0.04001	0.00012	0
be	0.07834	0.09557	0.31732	0.05868	0	1	0.07667	0.00581	0.00732	0.00454	0
bé	0	0.00055	0	0	0	1	0.00012	0.07641	0.07049	0.00007	0
békén	0	0	0	0	1	2	0.00001	0	0	0.00073	0
bele	0.05562	0.00036	0.00131	0	0	2	0.01249	0.03956	0.0384	0.00023	0.08247
belé	0.00062	0	0	0	0	2	0.00013	0.00641	0.00832	0.00495	0
benn	0	0	0	0.00007	0	1	0.00016	0.0005	0.0003	0.00015	0
bent	0	0	0.00019	0.0005	0	1	0.00002	0.0003	0.0002	0.00069	0
bérbe	0	0	0	0	1	2	0.00001	0	0	0	0
bosszút	0	0	0	0	1	2	0	0	0	0	0
célba	0	0	0	0	1	2	0.00001	0.0002	0.0002	0.00231	0
cserben	0	0	0	0	1	2	0.00011	0	0	0	0
csődbe	0	0	0	0	1	2	0	0.0001	0	0.00092	0
csonttá	0	0	0	0	1	2	0	0	0	0	0
csúcsra	0	0	0	0	1	2	0	0	0	0.00518	0
égbe	0	0	0	0	1	2	0	0.0001	0.0001	0.02488	0
egybe	0	0	0.00037	0	1	2	0.00087	0.00491	0.00582	0.00052	0
egyet	0	0	0.02056	0	1	2	0.00544	0	0	0	0
együtt	0	0	0.00635	0	0	2	0.00097	0.0001	0	0	0
éhen	0	0	0	0	1	2	0.00002	0.0001	0.0001	0.00031	0
el	0.15407	0.01258	0.09905	0.00022	0	1	0.19202	0.09965	0.09536	0.00004	0
elé	0.00025	0.00027	0	0.0005	0	2	0.00007	0.0025	0.00321	0.00371	0.05483
élen	0	0	0	0	1	2	0.00001	0	0	0	0
életben	0	0	0	0	1	3	0	0.0001	0	0.00377	0
életre	0	0	0	0	1	3	0	0.0001	0.0001	0.00231	0
ellen	0	0	0.00019	0	0	2	0.00049	0	0	0	0
ellent	0	0	0.00037	0	1	2	0.00055	0	0	0	0
elő	0.02967	0	0.00056	0	0	2	0.01275	0.01012	0.01173	0.00006	0
előre	0.0005	0.0021	0.00056	0.15094	1	3	0.00106	0.00741	0.00782	0.00055	0
érvénybe	0	0	0	0	1	3	0	0	0	0	0
észhez	0	0	0	0	1	2	0	0.0001	0	0.00345	0
észre	0	0	0	0	1	2	0.00157	0.0001	0	0	0
falra	0	0	0	0	1	2	0	0.0001	0	0.00134	0
fejbe	0	0	0	0	1	2	0.00004	0.0005	0.0006	0.00097	0
fejen	0	0	0	0	1	2	0	0.0001	0.0002	0.01382	0
fel	0.14451	0.17135	0.03065	0.18667	0	1	0.07313	0.05058	0.04241	0.00004	0
félbe	0	0	0	0	1	2	0.00036	0.0006	0.0008	0.00016	0
félre	0.00087	0	0	0.00057	1	2	0.00161	0.00631	0.00652	0.0003	0
felül	0	0	0	0	0	2	0.00148	0.0017	0.0016	0.00008	0
fenn	0.00012	0	0.00224	0.00007	0	1	0.00317	0.0003	0.0002	0	0
férjhez	0	0	0	0	1	2	0	0.0001	0	0.00126	0
főbe	0	0	0	0	1	2	0.00001	0.0001	0.0001	0.00138	0
föl	0.03389	0.08508	0.00355	0.02389	0	1	0.0056	0.02854	0.02477	0.00034	0
földet	0	0	0	0	1	2	0	0	0	0	0
földhöz	0	0	0	0	1	2	0	0.0001	0.0001	0.0005	0
földre	0	0	0	0	1	2	0	0.0002	0.0003	0.01161	0
fölé	0	0	0	0	0	2	0.00002	0.0014	0.00191	0.00694	0.00703
fölül	0	0	0	0	0	2	0.00004	0.0004	0.0003	0.00058	0
fönn	0.00012	0	0	0.00007	0	1	0.00013	0.0001	0	0.00003	0
fülön	0	0	0	0	1	2	0	0.0001	0.0002	0.00461	0
füstbe	0	0	0	0	1	2	0	0	0	0.00518	0
görcsbe	0	0	0	0	1	2	0	0	0	0	0
gúzsba	0	0	0	0	1	2	0	0	0	0	0
hadat	0	0	0	0	1	2	0	0	0	0	0
hadba	0	0	0	0	1	2	0	0.0001	0	0.00319	0
hajba	0	0	0	0	1	2	0	0	0	0	0
hanyatt	0	0	0	0	0	2	0.00001	0.0002	0.0002	0.00171	0
harcba	0	0	0	0	1	2	0	0	0	0.00691	0
hasba	0	0	0	0	1	2	0	0.0001	0.0002	0.00415	0
hasra	0	0	0	0	1	2	0.00001	0.0002	0.0002	0.00213	0
hatályba	0	0	0	0	1	3	0	0	0	0	0
hátba	0	0	0	0	1	2	0.00002	0.0004	0.0005	0.00233	0
hátra	0.0036	0.01432	0	0.12899	1	2	0.00072	0.00611	0.00652	0.00069	0
haza	0.00273	0.10952	0.00019	0	0	2	0.00369	0.00751	0.00682	0.00014	0
házhoz	0	0	0	0	1	2	0	0.0001	0.0001	0.01037	0
hegyet	0	0	0	0	1	2	0	0	0	0.04146	0
helybe	0	0	0	0	1	2	0	0.0001	0.0001	0.00754	0
helyben	0	0	0	0	1	2	0.00015	0.0001	0.0001	0.00007	0
helyre	0.00012	0	0	0	1	2	0.00097	0.0015	0.00201	0.00016	0
helyt	0	0	0.00037	0	1	1	0.00017	0.0001	0	0.00002	0
hozzá	0.00062	0.00027	0.10503	0	0	2	0.01148	0.00981	0.01163	0.00005	0.12577
ide	0.00099	0.00164	0.00075	0.00079	0	2	0.00134	0.01222	0.01404	0.0008	0
igazat	0	0	0	0	1	3	0	0.0001	0	0.00829	0
irányt	0	0	0	0	1	2	0	0	0.0001	0.04146	0
jól	0	0	0	0	1	1	0.00043	0.0002	0	0	0
jót	0	0	0	0	1	1	0.00001	0.0001	0	0.00041	0
jóvá	0	0	0.00019	0	1	2	0.00134	0.0002	0	0	0
kárba	0	0	0	0	1	2	0	0	0	0	0
karban	0	0	0	0	1	2	0.00006	0	0	0	0
keresztbe	0	0	0	0	1	3	0.00002	0.0007	0.0009	0.00308	0
keresztül	0	0	0	0	1	3	0.00034	0.00441	0.00582	0.00133	0
készen	0	0	0	0	1	2	0	0	0	0	0
kétségbe	0	0	0	0	1	3	0.00006	0.0001	0	0	0
ketté	0	0.00018	0	0	1	2	0.00047	0.0015	0.0015	0.00024	0
kézben	0	0	0	0	1	2	0	0	0	0	0
kézen	0	0	0	0	1	2	0.00001	0.0001	0	0	0
kezet	0	0	0	0	1	2	0	0.0001	0.0001	0.00332	0
kézhez	0	0	0	0	1	2	0	0	0	0	0
kézre	0	0	0	0	1	2	0.00001	0.0001	0.0002	0.00263	0
ki	0.06865	0.18849	0.03962	0.01887	0	1	0.10929	0.08272	0.07189	0.00005	0
kinn	0	0	0	0	0	1	0.00001	0.0001	0.0001	0.00151	0
kívül	0	0	0.00019	0.00007	0	2	0.00001	0.0002	0.0003	0.00286	0
kölcsön	0	0	0.00056	0	1	2	0.00038	0.0002	0.0001	0.00002	0
körbe	0.01092	0	0	0	1	2	0.00097	0.01132	0.01364	0.00105	0
körül	0.00037	0.00009	0	0	0	2	0.00103	0.00771	0.01073	0.00075	0
közbe	0.00211	0	0.00019	0	1	2	0.00052	0.002	0.00271	0.00035	0
közben	0	0	0	0	1	2	0.00004	0	0	0	0
közé	0	0	0.00037	0	0	2	0.00001	0.0004	0.0006	0.00392	0.01421
közre	0	0	0.00037	0	1	2	0.00132	0.0005	0.0006	0.00003	0
közzé	0	0	0	0	1	2	0.00087	0.0001	0	0	0
külön	0	0	0	0	0	2	0.00018	0.0009	0.0007	0.0003	0
kupán	0	0	0	0	1	2	0	0	0	0	0
küszöbön	0	0	0	0	1	3	0	0	0	0	0
kútba	0	0	0	0	1	2	0	0	0	0	0
lábra	0	0	0	0	1	2	0	0.0001	0.0001	0.02073	0
lángba	0	0	0	0	1	2	0	0	0	0.01037	0
lángra	0	0	0	0	1	2	0	0.0001	0	0	0
latba	0	0	0	0	1	2	0	0	0	0	0
lázba	0	0	0	0	1	2	0	0	0	0.00691	0
le	0.03551	0.25688	0.01159	0.22749	0	1	0.0601	0.08473	0.08924	0.00011	0
lényegre	0	0	0	0	1	3	0	0	0	0.04146	0
létre	0	0	0.00019	0	1	2	0.00355	0.0001	0.0001	0	0
lóvá	0	0	0	0	1	2	0	0	0	0	0
meg	0.21899	0.0052	0.28443	0	0	1	0.29185	0.09634	0.07982	0.00002	0
mellbe	0	0	0	0	1	2	0.00001	0.0002	0.0002	0.00161	0
mellé	0	0	0	0	0	2	0.00024	0.00421	0.00592	0.00188	0.03569
mennybe	0	0	0	0	1	2	0	0.0001	0.0001	0.02073	0
nagyot	0	0	0	0	1	2	0	0	0	0.00085	0
nagyra	0	0	0	0	1	2	0.00001	0.0001	0.0001	0.00087	0
neki	0.0036	0.00009	0	0	0	2	0.00183	0.00591	0.00632	0.00026	0.11499
nyakon	0	0	0	0	1	2	0.00001	0.0002	0.0002	0.00324	0
