igekötő	reduplikáció	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
le	0.03551	0.25688	0.01159	0.22749	0	0.00219	0.0601	0.08814	0.09321	0.00011	0
lényegre	0	0	0	0	0.00565	0.00658	0	0	0	0.04344	0
létre	0	0	0.00019	0	0.00565	0.00439	0.00355	0.0001	0.0001	0	0
lóvá	0	0	0	0	0.00565	0.00439	0	0	0	0	0
meg	0.21899	0.0052	0.28443	0	0	0.00219	0.29185	0.10025	0.08327	0.00002	0
mellbe	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0002	0.00169	0
mellé	0	0	0	0	0	0.00439	0.00024	0.0043	0.00612	0.00197	0.03569
mennybe	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.02172	0
nagyot	0	0	0	0	0.00565	0.00439	0	0	0	0.00089	0
nagyra	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0.0001	0.00092	0
neki	0.0036	0.00009	0	0	0	0.00439	0.00183	0.0061	0.00652	0.00027	0.11499
nyakon	0	0	0	0	0.00565	0.00439	0.00001	0.0003	0.0002	0.00339	0
nyélbe	0	0	0	0	0.00565	0.00439	0	0	0	0	0
nyilván	0	0	0	0	0	0.00439	0.00009	0	0	0	0
nyomon	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
nyomra	0	0	0	0	0.00565	0.00439	0	0	0	0	0
oda	0.02408	0.00109	0.02056	0.15195	0	0.00439	0.00567	0.02561	0.02619	0.00034	0
odább/odébb	0.00012	0	0	0	0	0.00439	0.00005	0.0012	0.00191	0.00283	0
oldalba	0	0	0	0	0.00565	0.00658	0	0.0003	0.0004	0.02172	0
össze	0.01688	0.0021	0.00691	0.01578	0	0.00439	0.01677	0.03512	0.03582	0.00016	0
