igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
élen	0	0	0	1	2	129	0	0	0	0
életben	0	0	0	1	3	11	0.0001	0	0.0909	0
életre	0	0	0	1	3	44	0.0001	0.0001	0.0455	0
ellen	0	0	0	0	2	5383	0	0	0	0
ellent	0	0	0	1	2	6376	0	0	0	0
elő	239	0	0	0	2	160996	0.0106	0.0122	0.0015	0
előre	4	23	2104	1	3	12366	0.0077	0.0082	0.0133	0
érvénybe	0	0	0	1	3	2	0	0	0	0
észhez	0	0	0	1	2	12	0.0001	0	0.0833	0
észre	0	0	0	1	2	19862	0.0001	0	0	0
falra	0	0	0	1	2	32	0.0001	0.0001	0.0625	0
fejbe	0	0	0	1	2	518	0.0006	0.0008	0.0309	0
fejen	0	0	0	1	2	16	0.0002	0.0003	0.375	0
fel/föl	1437	2812	2935	0	1	931473	0.0566	0.0479	0.001	0
félbe	0	0	0	1	2	4123	0.0006	0.0008	0.0039	0
félre	7	0	8	1	2	18682	0.0066	0.0068	0.0073	0
felül/fölül	0	0	0	0	2	17372	0.0018	0.0018	0.0021	0
fenn/fönn	2	0	2	0	1	38434	0.0003	0.0002	0.0001	0
férjhez	0	0	0	1	2	33	0.0001	0	0.0303	0
főbe	0	0	0	1	2	90	0.0001	0.0001	0.0333	0
földet	0	0	0	1	2	4	0	0	0	0
földhöz	0	0	0	1	2	167	0.0001	0.0001	0.018	0
földre	0	0	0	1	2	27	0.0002	0.0004	0.3333	0
fölé	0	0	0	0	2	245	0.0014	0.002	0.1673	402
fülön	0	0	0	1	2	36	0.0001	0.0002	0.1111	0
füstbe	0	0	0	1	2	9	0.0001	0.0001	0.2222	0
görcsbe	0	0	0	1	2	6	0	0	0	0
gúzsba	0	0	0	1	2	6	0	0	0	0
hadat	0	0	0	1	2	3	0	0	0	0
hadba	0	0	0	1	2	14	0.0001	0.0001	0.1429	0
hajba	0	0	0	1	2	24	0	0	0	0
hanyatt	0	0	0	0	2	121	0.0003	0.0002	0.0413	0
harcba	0	0	0	1	2	6	0	0	0.1667	0
hasba	0	0	0	1	2	41	0.0002	0.0002	0.122	0
hasra	0	0	0	1	2	79	0.0003	0.0002	0.0633	0
hatályba	0	0	0	1	3	8	0	0	0	0
hátba	0	0	0	1	2	196	0.0004	0.0005	0.0561	0
hátra	29	157	1798	1	2	8256	0.0064	0.0068	0.0166	0
haza	22	1201	0	0	2	44284	0.0078	0.0071	0.0033	0
házhoz	0	0	0	1	2	8	0.0001	0.0001	0.25	0
hegyet	0	0	0	1	2	1	0	0	1	0
helybe	0	0	0	1	2	11	0.0001	0.0001	0.1818	0
helyben	0	0	0	1	2	1731	0.0001	0.0001	0.0017	0
helyre	1	0	0	1	2	11429	0.0016	0.0021	0.0038	0
helyt	0	0	0	1	1	1952	0.0001	0	0.0005	0
hozzá	5	3	0	0	2	190076	0.0102	0.0121	0.0013	7189
ide	8	18	11	0	2	15423	0.0127	0.0146	0.0192	0
igazat	0	0	0	1	3	5	0.0001	0	0.2	0
irányt	0	0	0	1	2	2	0	0.0001	1	0
jól	0	0	0	1	1	5050	0.0002	0	0	0
jót	0	0	0	1	1	101	0.0001	0	0.0099	0
jóvá	0	0	0	1	2	15703	0.0002	0	0.0001	0
kárba	0	0	0	1	2	29	0	0	0	0
karban	0	0	0	1	2	770	0	0	0	0
keresztbe	0	0	0	1	3	256	0.0007	0.0009	0.0742	0
keresztül	0	0	0	1	3	3828	0.0046	0.0061	0.0321	0
készen	0	0	0	1	2	16	0	0	0	0
kétségbe	0	0	0	1	3	708	0.0001	0	0	0
ketté	0	2	0	1	2	5380	0.0015	0.0016	0.0059	0
kézben	0	0	0	1	2	5	0	0	0	0
kézen	0	0	0	1	2	58	0.0001	0	0	0
kezet	0	0	0	1	2	26	0.0001	0.0001	0.1154	0
kézhez	0	0	0	1	2	18	0	0	0	0
kézre	0	0	0	1	2	63	0.0002	0.0002	0.0635	0
ki	553	2067	263	0	1	1354223	0.0859	0.0747	0.0011	0
kinn	0	0	0	0	1	55	0.0002	0.0001	0.0364	0
kívül	0	0	1	0	2	87	0.0003	0.0003	0.069	0
kölcsön	0	0	0	1	2	4355	0.0002	0.0001	0.0005	0
körbe	88	0	0	1	2	11285	0.0118	0.0142	0.0254	0
körül	3	1	0	0	2	12590	0.008	0.0112	0.018	0
közbe	17	0	0	1	2	6636	0.0021	0.0028	0.0084	0
közben	0	0	0	1	2	503	0	0	0	0
közé	0	0	0	0	2	127	0.0004	0.0006	0.0945	812
közre	0	0	0	1	2	16951	0.0005	0.0006	0.0007	0
közzé	0	0	0	1	2	10252	0.0001	0	0.0001	0
külön	0	0	0	0	2	2065	0.0009	0.0007	0.0073	0
kupán	0	0	0	1	2	11	0	0	0	0
küszöbön	0	0	0	1	3	27	0	0	0	0
kútba	0	0	0	1	2	3	0	0	0	0
lábra	0	0	0	1	2	4	0.0001	0.0001	0.5	0
lángba	0	0	0	1	2	4	0	0	0.25	0
lángra	0	0	0	1	2	34	0.0001	0	0	0
latba	0	0	0	1	2	7	0	0	0	0
lázba	0	0	0	1	2	6	0	0	0.1667	0
le	286	2817	3171	0	1	718069	0.0881	0.0927	0.0026	0
lényegre	0	0	0	1	3	1	0	0	1	0
létre	0	0	0	1	2	42871	0.0001	0.0001	0	0
lóvá	0	0	0	1	2	11	0	0	0	0
meg	1764	57	0	0	1	3577800	0.1002	0.0829	0.0005	0
mellbe	0	0	0	1	2	103	0.0002	0.0002	0.0388	0
mellé	0	0	0	0	2	2739	0.0043	0.0061	0.0453	2040
mennybe	0	0	0	1	2	4	0.0001	0.0001	0.5	0
nagyot	0	0	0	1	2	49	0	0	0.0204	0
nagyra	0	0	0	1	2	95	0.0001	0.0001	0.0211	0
neki	29	1	0	0	2	21299	0.0061	0.0065	0.0062	6573
nyakon	0	0	0	1	2	64	0.0003	0.0002	0.0781	0
nyélbe	0	0	0	1	2	16	0	0	0	0
nyilván	0	0	0	0	2	997	0	0	0	0
nyomon	0	0	0	1	2	61	0	0	0	0
nyomra	0	0	0	1	2	5	0	0	0	0
oda	194	12	2118	0	2	67239	0.0256	0.0261	0.0079	0
odább/odébb	1	0	0	0	2	584	0.0012	0.0019	0.0651	0
oldalba	0	0	0	1	3	18	0.0003	0.0004	0.5	0
össze	136	23	220	0	2	198248	0.0351	0.0357	0.0036	0
ott	0	0	0	0	1	9811	0.0006	0.0003	0.0006	0
padlót	0	0	0	1	2	1	0	0	1	0
partra	0	0	0	1	2	88	0.0001	0.0002	0.0455	0
piacra	0	0	0	1	3	7	0	0	0.1429	0
pofán	0	0	0	1	2	120	0.0003	0.0004	0.0667	0
pofon	0	0	0	1	2	63	0.0002	0.0002	0.0635	0
porba	0	0	0	1	2	8	0.0001	0.0001	0.375	0
pórul	0	0	0	1	2	50	0	0	0	0
rá/reá	86	3	0	0	1	176741	0.0311	0.03	0.0034	28176
rabul	0	0	0	1	2	6	0	0	0	0
rajta	0	0	0	0	2	2061	0.0004	0	0	1734
rendbe	0	0	0	1	2	976	0.0004	0.0002	0.0051	0
rendre	0	0	0	1	2	201	0.0001	0.0001	0.0149	0
részre	0	0	0	1	2	4	0	0	0	0
részt	0	0	0	1	1	923	0	0	0	0
ringbe	0	0	0	1	2	1	0	0	1	0
romba	0	0	0	1	2	55	0	0	0	0
rosszul	0	0	0	1	2	161	0.0001	0.0001	0.0186	0
sárba	0	0	0	1	2	4	0	0	0	0
seggbe	0	0	0	1	2	77	0.0003	0.0004	0.1169	0
seggre	0	0	0	1	2	9	0.0001	0.0001	0.3333	0
semmibe	0	0	0	1	3	17	0	0	0	0
síkra	0	0	0	1	2	245	0	0	0	0
sorba	0	0	0	1	2	91	0.0002	0.0002	0.0549	0
sorban	0	0	0	1	2	39	0	0	0	0
sorra	0	0	0	1	2	41	0.0001	0.0001	0.0732	0
szájon	0	0	0	1	2	23	0.0001	0.0001	0.1304	0
számba	0	0	0	1	2	137	0.0001	0	0.0073	0
számon	0	0	0	1	2	158	0	0	0	0
számot	0	0	0	1	2	6	0.0001	0	0.1667	0
szárba	1	0	0	1	2	10	0	0	0	0
szárnyra	0	0	0	1	2	8	0.0001	0	0.125	0
szarrá	0	0	0	1	2	19	0.0002	0.0004	0.4737	0
széjjel	0	3	17	0	2	467	0.0027	0.0041	0.1756	0
szembe	0	0	0	1	2	13515	0.0026	0.003	0.0044	0
szemben	0	0	0	1	2	229	0	0	0	0
szemen	0	0	0	1	2	21	0.0002	0.0002	0.1905	0
szemet	0	0	0	1	2	21	0.0001	0	0.0476	0
szemmel	0	0	0	1	2	4	0	0	0.25	0
szemre	0	0	0	1	2	329	0	0	0	0
szénné	0	0	0	1	2	5	0.0001	0.0002	1	0
szerte	0	1	0	0	2	1612	0.0025	0.0039	0.049	0
szét	5	4	0	0	1	42566	0.0205	0.0237	0.0113	0
színre	0	0	0	1	2	30	0.0001	0	0	0
szóba	0	0	0	1	2	640	0.0001	0	0	0
szörnyet	0	0	0	1	2	746	0	0	0.0013	0
szót	0	0	0	1	1	23	0.0001	0	0	0
szóvá	0	0	0	1	2	131	0	0	0	0
talpon	0	0	0	1	2	2	0	0.0001	1	0
talpra	0	0	0	1	2	103	0.0002	0.0004	0.0777	0
táncra	0	0	0	1	2	6	0	0	0	0
tarkón	0	0	0	1	2	12	0.0001	0.0002	0.4167	0
tele/teli	1	0	0	0	2	4368	0.0073	0.0103	0.0476	0
témába	0	0	0	1	3	1	0	0	1	0
térdre	0	0	0	1	2	22	0.0002	0.0002	0.1818	0
testet	0	0	0	1	2	7	0	0	0	0
testre	0	0	0	1	2	102	0	0	0	0
tetten	0	0	0	1	2	33	0	0	0	0
tisztán	0	0	0	1	2	14	0	0	0	0
tökön	0	0	0	1	2	46	0.0001	0.0002	0.087	0
tollba	0	0	0	1	2	8	0	0	0	0
tönkre	0	2	0	1	2	14332	0.001	0.0016	0.0022	0
tőrbe	0	0	0	1	2	12	0	0	0	0
torkon	0	0	0	1	2	9	0.0001	0.0002	0.5556	0
törvényt	0	0	0	1	2	2	0	0.0001	1	0
tova	1	4	0	0	2	993	0.0029	0.0041	0.0836	0
tovább	0	0	0	1	2	26264	0.0138	0.015	0.0116	0
trónra	0	0	0	1	2	22	0	0	0	0
tükörbe	0	0	0	1	3	1	0	0	1	0
túl	0	0	0	0	1	44911	0.0156	0.0181	0.0082	0
tűzbe	0	0	0	1	2	11	0.0001	0.0001	0.1818	0
