igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
jót	0	0	0	0.00565	0.0022	0.00001	0.0001	0	0.0004	0
jóvá	0	0	0	0.00565	0.0044	0.00129	0.0002	0	0	0
kárba	0	0	0	0.00565	0.0044	0	0	0	0	0
karban	0	0	0	0.00565	0.0044	0.00006	0	0	0	0
keresztbe	0	0	0	0.00565	0.00659	0.00002	0.0007	0.0009	0.00301	0
keresztül	0	0	0	0.00565	0.00659	0.00032	0.0046	0.00612	0.0013	0
készen	0	0	0	0.00565	0.0044	0	0	0	0	0
kétségbe	0	0	0	0.00565	0.00659	0.00006	0.0001	0	0	0
ketté	0	0.00018	0	0.00565	0.0044	0.00044	0.0015	0.0016	0.00024	0
kézben	0	0	0	0.00565	0.0044	0	0	0	0	0
kézen	0	0	0	0.00565	0.0044	0	0.0001	0	0	0
kezet	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00468	0
kézhez	0	0	0	0.00565	0.0044	0	0	0	0	0
kézre	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0002	0.00257	0
ki	0.06865	0.18849	0.01887	0	0.0022	0.1115	0.08597	0.07493	0.00004	0
kinn	0	0	0	0	0.0022	0	0.0002	0.0001	0.00148	0
kívül	0	0	0.00007	0	0.0044	0.00001	0.0003	0.0003	0.0028	0
kölcsön	0	0	0	0.00565	0.0044	0.00036	0.0002	0.0001	0.00002	0
körbe	0.01092	0	0	0.00565	0.0044	0.00093	0.01181	0.01424	0.00103	0
körül	0.00037	0.00009	0	0	0.0044	0.00104	0.00801	0.01123	0.00073	0
közbe	0.00211	0	0	0.00565	0.0044	0.00055	0.0021	0.00281	0.00034	0
közben	0	0	0	0.00565	0.0044	0.00004	0	0	0	0
közé	0	0	0	0	0.0044	0.00001	0.0004	0.0006	0.00383	0.01421
közre	0	0	0	0.00565	0.0044	0.0014	0.0005	0.0006	0.00003	0
közzé	0	0	0	0.00565	0.0044	0.00084	0.0001	0	0	0
külön	0	0	0	0	0.0044	0.00017	0.0009	0.0007	0.0003	0
kupán	0	0	0	0.00565	0.0044	0	0	0	0	0
küszöbön	0	0	0	0.00565	0.00659	0	0	0	0	0
kútba	0	0	0	0.00565	0.0044	0	0	0	0	0
lábra	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.02027	0
lángba	0	0	0	0.00565	0.0044	0	0	0	0.01013	0
lángra	0	0	0	0.00565	0.0044	0	0.0001	0	0	0
latba	0	0	0	0.00565	0.0044	0	0	0	0	0
lázba	0	0	0	0.00565	0.0044	0	0	0	0.00676	0
le	0.03551	0.25688	0.22749	0	0.0022	0.05912	0.08817	0.09299	0.00011	0
lényegre	0	0	0	0.00565	0.00659	0	0	0	0.04054	0
létre	0	0	0	0.00565	0.0044	0.00353	0.0001	0.0001	0	0
lóvá	0	0	0	0.00565	0.0044	0	0	0	0	0
meg	0.21899	0.0052	0	0	0.0022	0.29457	0.10028	0.08316	0.00002	0
mellbe	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0002	0.00157	0
mellé	0	0	0	0	0.0044	0.00023	0.0043	0.00612	0.00184	0.03569
mennybe	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.02027	0
nagyot	0	0	0	0.00565	0.0044	0	0	0	0.00083	0
nagyra	0	0	0	0.00565	0.0044	0.00001	0.0001	0.0001	0.00086	0
neki	0.0036	0.00009	0	0	0.0044	0.00175	0.0061	0.00652	0.00025	0.11499
nyakon	0	0	0	0.00565	0.0044	0.00001	0.0003	0.0002	0.00317	0
nyélbe	0	0	0	0.00565	0.0044	0	0	0	0	0
nyilván	0	0	0	0	0.0044	0.00008	0	0	0	0
nyomon	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
nyomra	0	0	0	0.00565	0.0044	0	0	0	0	0
